,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
89,"Cambridge, MA 02140 (North Cambridge area)",InnoTech Staffing,"In this position, you will manage the data that the company’s processes generate, taking control of how we collect, curate, organize, and analyze this data....",cffe1b201a53dc03,Data Scientist / Data Engineer - statistics & analytics- MIT...,,,,6 days,2016-10-17 21:30:39.662904
90,"Wellesley, MA 02481",Aetna,Aetna’s Consumer Health Services - Clinical Analytics team is seeking a Data Scientist Statistician to develop advanced analytic solutions to optimize care...,7699094bee86d5a9,Data Scientist Statistician,,43.8,1717,25 days,2016-10-17 21:30:39.662904
91,"Boston, MA 02116 (South End area)",Wayfair,"Whether you’re measuring site performance, analyzing customer behavior and trends, data mining, or optimizing SQL queries, you will be working with cutting edge...",3bc71ebe610a8ab3,Quantitative Data Analyst,,42.6,89,13 days,2016-10-17 21:30:39.662904
92,"Cambridge, MA",nuTonomy,"Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models....",fd9e6e3b8773f012,Machine Learning Specialist,,,,18 days,2016-10-17 21:30:39.662904
93,"Boston, MA",Harnham,Work closely with data scientists to design and develop processes to help data science projects on a common data platform. Data modeling and SQL experience....,60ab711a93c357b4,Data Engineer,"$160,000 a year",,,6 days,2016-10-17 21:30:39.662904
94,"Boston, MA","Human Capital Resource, LLC.","Data mining, machine learning, deep learning. We are using predicative analytics which includes a number of Deep Learning and Probabilistic Programming projects...",0ca51c43b091f477,Machine Learning Scientist,"$140,000 a year",,,13 days,2016-10-17 21:30:39.662904
95,"Framingham, MA",Staples,: Qualifications Job : Location(s) : Other Locations : Schedule : : : ...,5a89ea030350bd4c,"Data Scientist, Framingham, MA",,43.2,5429,30+ days,2016-10-17 21:30:39.662904
96,"Cambridge, MA","Foundation Medicine, Inc.","Lead data analysis projects including extraction and summary of various types of genomic and clinical data, and statistical analysis for the association of...",9121517a020ff5ba,Data Scientist,,,,30+ days,2016-10-17 21:30:39.662904
97,"North Reading, MA",Amazon Robotics LLC,Research Scientist III. Gather data required for analysis and mathematical model building by writing ad-hoc scripts and database queries in SQL....,7d38831d73eb82c1,Research Scientist III - AMZ1703,,43.2,9618,7 days,2016-10-17 21:30:39.662904
98,"Boston, MA",Spotify,You will apply your scientific knowledge and research skills to design studies into people’s reactions to Machine Learning-based interactions....,ddc4022f1fb62759,Research Scientist,,54.6,12,13 days,2016-10-17 21:30:39.662904
99,"Cambridge, MA 02139 (Area IV area)",Epizyme,Epizyme is a clinical stage biopharmaceutical company creating targeted epigenetic therapeutics for patients with cancer....,53ba38e06b12ceac,"Research Associate/Senior Research Associate, Biological Sci...",,,,4 days,2016-10-17 21:30:39.662904
100,"Boston, MA",Lifetime Fitness,Experience tracking statistical data for basketball games. Track all relevant statistics during games. Work closely with League Coordinator to ensure member...,ceddc9b51910c28c,Ultimate Hoops Statistician,,42.6,752,20 days,2016-10-17 21:30:39.662904
101,"Cambridge, MA",NIBR,"As a Data Specialist in Quantitative Sciences & Innovation, Translational Medicine, you will work with clinical trial teams and enable them to leverage device...",c70a89b5b8927e98,"Data Scientist, Digital Mobile Health - Translational Medici...",,,,7 days,2016-10-17 21:30:39.662904
