,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
58,"Lanham, MD",Bay State,5+ years experience using R machine learning libraries/functionality such as:. Support the RRP Analytics team in developing benchmarks to evaluate the technical...,35be1e218d679620,Greenplum Data Scientist SME,,52.800003,3,30+ days,2016-10-17 21:32:25.026828
59,"Crystal City, VA",Novetta,Data mining or machine learning. Novetta is seeking a Data Engineer or Data Scientist interested in creating scalable ETL solutions and solving analytical...,cea83a07c73b1d5d,Data Scientist/Data Engineer,,,,30+ days,2016-10-17 21:32:25.026828
60,"Silver Spring, MD",ICF,"Specifically, it provides psychological health performance and analytics support, psychological health research support, psychological health promotion support,...",40ffe9e86447a01f,Data Scientist/Engineer,,41.4,234,7 days,2016-10-17 21:32:25.026828
61,"Washington, DC",Arch Capital Group Ltd.,"Manager/Director, Data Scientist to join the newly formed Data and Analytics function in Washington, DC. Prior experience with Credit Risk Modeling (preferably...",1ab24dd3ae78209a,"Sr Manager/Director, Data Scientist",,,,15 days,2016-10-17 21:32:25.026828
62,"Reston, VA 20191",Engility Corporation,"TASC, an Engility company, is seeking Data Scientists to support an exciting mission-oriented program for the Intelligence Community....",263c42ac75cc186e,Data Scientist,,43.2,243,30+ days,2016-10-17 21:32:25.026828
63,"Washington, DC 20006 (Foggy Bottom area)",2M Research Services,"This position also entails mentoring junior staff, and participating in professional development and scientific activities....",e5d8107e93208c8d,Senior Survey Sampling Statistician,,,,1 day,2016-10-17 21:32:25.026828
64,"Washington, DC 20005 (Logan Circle area)",ONE Campaign,"The Data Scientist will be responsible for advising ONE on the potential of data to provide new insights into ONE’s work and mission using advanced data mining,...",c22bed63c6366ca3,Data Scientist (London),,54.0,2,30+ days,2016-10-17 21:32:25.026828
65,"Washington, DC 20006 (Foggy Bottom area)",2M Research Services,Familiarity with R and SUDAAN is desirable. This position will be responsible for designing and conducting statistical analyses on data collected from complex...,d81a5500f91bddd3,Senior Statistician,,,,1 day,2016-10-17 21:32:25.026828
66,"Washington, DC","Dawnbreaker, Inc.","Ability to interact directly with a variety of stakeholders, including scientific and management. Use of excel spreadsheets and basic analysis of data using...",57bb7830a568e369,Research Analyst,,,,6 days,2016-10-17 21:32:25.026828
67,"Washington, DC 20036 (Downtown area)",American Chemical Society,"Lead and manage a team comprising of ETL developers, data architectures, data scientists and database administration roles (onsite and offshore)....",7351297efb958c07,Data Manager,,51.0,29,12 days,2016-10-17 21:32:25.026828
68,"Washington, DC 20036 (Downtown area)",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Five years of professional experience working as a Data...",29ebd395ee097483,Sr Associate - Data Scientist,,51.0,1768,25 days,2016-10-17 21:32:25.026828
69,"Bethesda, MD",National Opinion Research Center (NORC),"At NORC, Data Scientists play a strategic role in supporting our research teams to produce valuable insights for our clients....",6539d50aa1085d0b,Data Scientist,,,,30+ days,2016-10-17 21:32:25.026828
70,"Silver Spring, MD",Vencore,"Experience with entity extraction and conceptual search technologies such as LSI, LDA, etc. Experience with machine learning, algorithm analysis, and data...",b86ce125f52aacc8,Remote Sensing Data Scientist II,,42.0,43,7 days,2016-10-17 21:32:25.026828
