,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
107,"Eagan, MN",Hire Investment,Job Code: #6348 Title: Legal Research Analyst -- 21834 Job Type: Contract Job Location: Eagan Minnesota Job Description: Job Description The Legal Research,d726df178827a26d,Legal Research Analyst -- 21834,,40.8,4,30+ days,2016-10-17 21:42:26.854409
108,"Minneapolis, MN 55439",Barr Engineering,"Today, our over 750 engineers, scientists, technical specialists, and support staff work with clients in the mining, power, refining, manufacturing, and forest...",239c0e1c463f7644,Internship - Environmental Permitting and Compliance Focus,,55.800003,4,30+ days,2016-10-17 21:42:26.854409
109,"Plymouth, MN",Cargill,Leverage technical subject matter expertise to determine specific oilfield applications (esp. In relevant area. Ability to manage multiple priorities....,062ee8b0bad9c091,Oilfield Applications Senior Scientist,,43.8,989,6 days,2016-10-17 21:42:26.854409
110,"Minneapolis, MN",PepsiCo,"This position will manage a small team of trait discovery scientists with 2-3 direct reports including PhD level scientists, technicians, lab managers and/or...",8b9df77231495195,Crop Trait Discovery Lead,,44.4,5094,30+ days,2016-10-17 21:42:26.854409
111,"Minneapolis, MN",PepsiCo,Ability to manage projects within project management framework. Develop and maintain a network of public scientists in grains breeding for precompetitive...,2d8d8f7676ba83a0,Grains Improvement Lead,,44.4,5094,30+ days,2016-10-17 21:42:26.854409
112,"Plymouth, MN",TCF Bank,"R, SAS, SQL, Tableau. Build and manage stress testing models for DFAST. Conduct econometric and statistical analysis of credit data....",088168f3e77f6fb6,"Senior Quantitative Risk Analyst - Plymouth, MN",,42.0,690,30+ days,2016-10-17 21:42:26.854409
113,"Minneapolis, MN 55426",General Mills,The scientists in the Statistics and Analytics Program Area will collaborate with US and India GKS team members to deliver high value statistical work that...,d7bc22c376df77a9,Senior Packaging Engineer - R&D,,51.0,560,24 days,2016-10-17 21:42:26.854409
114,"Eagan, MN",Ecolab,Ecolab is looking for a talented data scientist to work in a start-up like in-house innovation hub chartered with creating big data analytics and data science...,adcd15d8e769f983,Software Engineer,,42.6,574,30+ days,2016-10-17 21:42:26.854409
115,"Minneapolis, MN 55449",Cargill,"Assist senior scientists on delegated tasks. Collect and analyze data, issue reports. Support product development opportunities based on consumer trends and...",4329ec104d151163,Technical Services Specialist,,43.8,989,3 days,2016-10-17 21:42:26.854409
116,"New Hope, MN",PPD,Mentor and supervise TA clinical scientists. Therapeutic and indication-specific development expertise across one or more therapeutic areas and one or more drug...,fd3a35f225c25349,"VP, Global Product Development (Neuroscience)-HOME-BASED",,41.4,225,13 days,2016-10-17 21:42:26.854409
117,"Minneapolis, MN",TARGET,The Product Owner represents the “voice of the guest” by maintaining and prioritizing the backlog to ensure that the team is working on stories that maximize...,9846e1256681e62b,"Lead Product Owner, Search Platform",,43.8,18699,30+ days,2016-10-17 21:42:26.854409
118,"Eden Prairie, MN",UnitedHealth Group,"Serve as a leader by providing strategy, insights, and guidance around measurement, campaign analytics, reporting, and proprietary primary data research and...",8ae78c860bef6f52,"Vice President, Predictive Analytics and Data Science",,43.2,4187,30+ days,2016-10-17 21:42:26.854409
119,"Bloomington, MN",HealthPartners,"Four years experience in health care and/or health research settings, working with health care claims data. Masters Degree in mathematics, statistics, health...",06fc5555fc7f97d8,Health Informatics Analyst Principal Job,,52.199997,144,30+ days,2016-10-17 21:42:26.854409
120,"Arden Hills, MN",Boston Scientific Corporation,"Investigates the feasibility of applying scientific principles and concepts to potential technologies, materials, processes and products....",0f286eb6d96b8650,Senior Scientist - Arden Hills,,51.0,561,19 days,2016-10-17 21:42:26.854409
121,"Minneapolis, MN",HDR,"We create an unshakable foundation for progress because our multidisciplinary teams also include scientists, economists, builders, analysts and artists....",ce9d497653c85660,Administrative Intern,,51.0,122,14 days,2016-10-17 21:42:26.854409
122,"Minneapolis, MN",Perrigo,"The Scientist will provide technical support to assigned projects, using robust scientific methods which comply with standard operating procedures and...",d5204cc5a9b1fc8b,Scientist - Analytical R&D,,51.0,112,30+ days,2016-10-17 21:42:26.854409
123,"Eagan, MN",Russell Tobin & Associates,"Our client, the leading provider of legal research solutions, is looking for an experienced attorney to join their team in Eagan. Please review the details",178dff44d83332c6,Senior Legal Research Analyst,,44.4,9,1 hour,2016-10-17 21:42:26.854409
124,"Shoreview, MN","ASTER Labs, Inc.","With our team of research scientists, engineers, and software developers, we are able to approach challenges in a manner in which innovation and creativity...",13f97454efbc207a,Office or Administrative Assistant,$12.50 - $18.50 an hour,,,30+ days,2016-10-17 21:42:26.854409
