,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
61,"Dallas, TX 75215 (South Boulevard-Park Row area)",Baylor Scott & White Health,2 Outpatient quality data (HealthTexas Provider Network Clinical Preventive Services). Contribute to the development of new strategies designed to improve...,cebf2440f191006f,Statistical Programmer,,43.8,205,30+ days,2016-10-17 21:38:15.093162
62,"Irving, TX",Strive Consulting LLC,10+ years in deep Statistical and Data Analytics for a major corporate organization (primarily in the financial industry)....,a47949bddaa4e6d9,Data Scientist/Statistic Modeler,,,,6 days,2016-10-17 21:38:15.093162
63,"Irving, TX 75038",Verizon,"Supply Chain Predictive & Prescriptive Analytics team at Verizon Wireless needs highly skilled and experienced experts in data analysis including modeling, data...",3f67202ece8273f6,Principal Data Scientist - Supply Chain,,44.4,11117,30+ days,2016-10-17 21:38:15.093162
64,"Irving, TX 75063",MEDISCA,Ability to perform complex calculations necessary for data analysis and solution preparation. Compounded Product Scientist....,431fa318a1d7b0ed,Compounded Product Scientist,,,,5 days,2016-10-17 21:38:15.093162
65,"Irving, TX","InfoSpace, Inc.","Our data platform utilizes a polyglot persistence pattern using SQL Server, MongoDB, ElasticStack, Redis, Hadoop and other technologies to deliver a suite of...",4e3002565b84f9cc,Data Engineer,,,,30+ days,2016-10-17 21:38:15.093162
66,"Irving, TX 75038","Resolvity, Inc",Knowledge of current artificial intelligence and machine learning techniques including Deep Belief Networks (DBNs) or Deep Neural Networks(DNN)....,5b24ac69bb0a375f,Speech Recognition Scientist - AI & Machine Learning,,,,30+ days,2016-10-17 21:38:15.093162
67,"Dallas, TX",Parkland Hospital,"In Health Services Research (HSR), Health Economics/Clinical Effectiveness, Clinical Epidemiology, or Health Services Policy & Management....",3b50b9712944f318,HSR Scientist/Writer-PCCI,,43.8,302,6 days,2016-10-17 21:38:15.093162
68,"Irving, TX",Citi,"Engagement with key partners in the policy, analytics and operational areas to develop requirements for new reporting or ad hoc data support needs....",81def5922aaaabf8,"VP, Fraud Reporting & Data Analysis Lead",,44.4,7977,30+ days,2016-10-17 21:38:15.093162
69,"Irving, TX",La Quinta Inns & Suites,A hands on computer scientists at heart with a total 8+ Years’ experience of Software Development. The Big Data Developer will be expected to architect...,6bf9dd8f0052312d,IT Big Data Developer,,43.2,974,30+ days,2016-10-17 21:38:15.093162
70,"Plano, TX",Capital One,"Assess data quality, prepare data for analysis, build statistical models to identify relationships and trends in historic data, and analyze and interpret...",25ef5d4b873d553f,Principal Quantitative Analyst,,44.4,2904,30+ days,2016-10-17 21:38:15.093162
