,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
32,"Boulder, CO",Agilent,"Agilent enables customers to gain the answers and insights they seek –– so they can do what they do best:. Outstanding communication skills, both written and...",af00e92ec008ae3b,Analytical Services Scientist,,52.199997,268,13 days,2016-10-17 21:34:50.519659
33,"Denver, CO",xentity corporation,"We are looking for data analysts, data wranglers, data scientists with excellent leadership, technical, and subject matter expertise qualities....",4ee1edca5362d9bd,Data Science Analyst,,,,30+ days,2016-10-17 21:34:50.519659
34,"Denver, CO 80204 (Central West Denver area)",Connecting People inc,Work with the academic and business community to develop new techniques and contribute to research in the area of business intelligence and analytics on large...,34ca7482748e7841,Data Scientist,,,,26 days,2016-10-17 21:34:50.519659
35,"Broomfield, CO 80021",Return Path,"The Director will manage a team of data scientists, analysts and data quality specialists. The Data Science & Analytics team works closely with Product,...",a3950fc5eda9e7eb,"Director, Data Science and Analytics",,51.0,14,30+ days,2016-10-17 21:34:50.519659
36,"Boulder, CO",University of Colorado,Data Assimilation Development. Ensemble-variational data assimilation system. Research scientist to develop and test....,c547fe90887eb415,Research Associate,,51.6,140,3 days,2016-10-17 21:34:50.519659
37,"Golden, CO",National Renewable Energy Laboratory,"Work with scientific data management researchers, data scientists, software and application programmers, renewable energy scientists and other stakeholders to...",fbdf862a6e5c6395,Scientific Visualization Researcher,,42.0,26,4 days,2016-10-17 21:34:50.519659
38,"Denver, CO",National Jewish Health,Collaborates with and supports scientists in the area of bioinformatics analysis. Provide bioinformatics support to scientists....,b96c28e37cac90bf,Bioinformatics Analyst I,,42.6,44,11 days,2016-10-17 21:34:50.519659
39,"Boulder, CO",Pearson,"*Software Engineer \- Machine Learning**. , we’recommitted to a world that’s always learning and to our talented team who makesit all possible\....",87d171fc99d4ca58,Software Engineer - Machine Learning,,43.8,783,30+ days,2016-10-17 21:34:50.519659
40,"Centennial, CO",Pearson,"+ High fluency in using scientific computing tools like Python, R and/or equivalents\. Data structures, data representation, data cleaning, data governance, and...",9e23b8017125b4db,Senior Data/Research Scientist,,43.8,783,30+ days,2016-10-17 21:34:50.519659
41,"Denver, CO",xentity corporation,"Bachelor's Degree with a Masters in Business Administration, Information Technology, or specific relevant subject area....",3f7305c1eacfb94f,Government Enterprise Architect,"$95,000 - $127,000 a year",,,1 day,2016-10-17 21:34:50.519659
42,"Centennial, CO",Pearson,"Data mining, Big data, Scientist, Data Scientist, Education, Knowledge inference, Causal inference, Behavior detection, Time series, Learning algorithms,...",1994037b11118b14,Machine Learning Engineer,,43.8,783,30+ days,2016-10-17 21:34:50.519659
43,"Englewood, CO",Leidos,"Leidos is a global science and technology solutions leader working to solve the world's toughest challenges in the defense, intelligence, homeland security,...",2448aed4c1579117,Advanced Operations Research Analyst,,43.8,187,9 days,2016-10-17 21:34:50.519659
44,"Boulder, CO",RefactorU,RefactorU is looking for one or more talented data scientists to join our growing team and help us develop and lead our Data Science Bootcamp....,6a6c0fabb9abe1c2,Data Scientist (Curriculum Developer / Instructor),,,,7 days,2016-10-17 21:34:50.519659
